,c_albicans_single_growth,c_albicans_paired_growth,bacteria_single_growth,bacteria_paired_growth,solution_status,c_albicans_coefficient,bacteria_coefficient,interaction_type,bacteria_interaction_role
M_Lactobacillus_reuteri_I5007,2.319699588,0.310108328,0.851746339,4.552818157,1,-2.903093808,2.418264092,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_lpuph,2.319699588,0.329722391,0.906959915,4.832543548,1,-2.814614216,2.413672039,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_mlc3,2.319699588,1.819988583,1.184886048,6.970335697,1,-0.350008581,2.556479819,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_MM2_3,2.319699588,1.127753986,0.671804923,2.272644917,1,-1.040485596,1.758258018,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_MM4_1A,2.319699588,1.150166033,0.634406675,2.300519602,1,-1.012095844,1.858479894,Parasitism [-/+],inhibitor
M_Lactobacillus_reuteri_SD2112_ATCC_55730,2.319699588,1.146181179,0.624457991,2.25414611,1,-1.01710287,1.851904605,Parasitism [-/+],inhibitor
M_Lactobacillus_rhamnosus_ERR1203919,2.319699588,1.567291208,1.813737337,6.971525317,1,-0.565664719,1.942508799,Parasitism [-/+],inhibitor
M_Lactobacillus_rhamnosus_ERR2221226,2.319699588,1.567291208,1.813737337,6.971525317,1,-0.565664719,1.942508799,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_ATCC_25644,2.319699588,1.301602621,0.970242563,2.477923494,1,-0.83364892,1.35271427,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_ATCC_27782,2.319699588,1.294683966,0.949606056,2.457587396,1,-0.841338004,1.371841681,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_DSM_20403_NBRC_102161,2.319699588,1.332823055,1.0689442,2.664706012,1,-0.79945272,1.317789829,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_ERR2221165,2.319699588,1.338955853,1.143682886,2.897320233,1,-0.792829588,1.341032066,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_ERR2221355,2.319699588,1.338939029,1.143751593,2.897484782,1,-0.792847714,1.341027331,Parasitism [-/+],inhibitor
M_Lactobacillus_ruminis_SPM0211,2.319699588,0.616799229,1.226483944,4.669860037,1,-1.911065114,1.928850963,Parasitism [-/+],inhibitor
M_Lactobacillus_sakei_subsp_sakei_23K,2.319699588,0.354600252,0.499018254,3.187606662,1,-2.709672517,2.675309123,Parasitism [-/+],inhibitor
M_Lactobacillus_sakei_subsp_sakei_DSM_20017_JCM_1157,2.319699588,1.220603849,0.384781272,2.13726264,1,-0.926342937,2.473653719,Parasitism [-/+],inhibitor
M_Lactobacillus_salivarius_CECT_5713,2.319699588,2.428575559,0.950063162,5.247869229,1,0.066172391,2.465636436,Commensalism [o/+],neutral
M_Lactobacillus_salivarius_ERR2221215,2.319699588,2.073724667,1.012681717,7.453632886,1,-0.161713624,2.879762953,Parasitism [-/+],inhibitor
M_Lactobacillus_salivarius_ERR2221301,2.319699588,2.07375886,1.012681543,7.453582248,1,-0.161689836,2.8797534,Parasitism [-/+],inhibitor
M_Lactobacillus_salivarius_ERR2221323,2.319699588,2.073724703,1.012681935,7.453632879,1,-0.161713599,2.879762641,Parasitism [-/+],inhibitor
M_Lactobacillus_salivarius_GJ_24,2.319699588,2.09809425,0.987285069,6.831839025,1,-0.144858494,2.790735367,Commensalism [o/+],neutral
M_Lactobacillus_salivarius_HO66_ATCC_11741,2.319699588,2.435424155,0.777985277,4.582479377,1,0.070235074,2.55831363,Commensalism [o/+],neutral
M_Lactobacillus_salivarius_NIAS840,2.319699588,2.09792503,1.015766629,6.810398113,1,-0.144974857,2.745170153,Commensalism [o/+],neutral
M_Lactobacillus_salivarius_salivarius_UCC118,2.319699588,2.3994324,0.833879041,4.738753656,1,0.048755186,2.506597632,Commensalism [o/+],neutral
M_Lactobacillus_ultunensis_DSM_16047,2.319699588,2.451736249,1.219540744,5.087249541,1,0.079865805,2.060547905,Commensalism [o/+],neutral
M_Lactobacillus_vaginalis_ATCC_49540,2.319699588,1.42550295,0.390136713,3.072139047,1,-0.702466957,2.977191842,Parasitism [-/+],inhibitor
M_Lactobacillus_vaginalis_ERR2221166,2.319699588,0.874756376,0.313553986,2.705185057,1,-1.406984802,3.108941524,Parasitism [-/+],inhibitor
